DepartmentOrSubdivision,Position,MinPositionSalary,MaxPositionSalary,TotalWages,DefinedBenefitPlanContribution,HealthDentalVision,TotalRetirementAndHealthContribution
Administrative Services,Administrative Specialist,47118,57271,100,0,0,0
Administrative Services,Applications Administrator,87406,106243,112270,8500,15474,23974
Administrative Services,Applications Analyst,79468,96593,109961,7729,15427,23156
Administrative Services,Applications Analyst,79468,96593,107557,7429,601,8030
Administrative Services,Clerical Assistant,29120,29120,468,0,0,6
Administrative Services,Elections Advisor,218400,218400,1549,0,0,20
Administrative Services,Geographic Info Systems Coordinator,97986,119102,122790,9297,12523,21820
Administrative Services,Geographic Info Systems Tech,68835,83669,86259,6531,11720,18251
Administrative Services,Human Resources Technician,64835,78808,17257,0,0,212
Administrative Services,Information Technology Manager,126864,154205,161249,12013,18368,30381
Administrative Services,Information Technology Supervisor,111030,134958,138811,13765,506,14271
Administrative Services,Information Technology Supervisor,112684,136968,182054,10413,0,10413
Administrative Services,Information Technology Tech I,54450,66184,31326,0,0,402
Administrative Services,Information Technology Tech II,59269,72041,63103,6829,30,6859
Administrative Services,Information Technology Tech II,59269,72041,75024,5623,12490,18113
Administrative Services,Information Technology Tech II,59269,72041,72289,8426,12557,20983
Administrative Services,Network Analyst,79468,96593,99583,7540,15036,22576
Administrative Services,Network Analyst,79468,96593,70166,8205,9099,17304
Administrative Services,System Administrator,87406,106243,108776,12310,15036,27346
Administrative Services,Web Services Technician,68835,83669,79087,8653,0,8653
Administrative Services,Webmaster,96050,116750,120364,9113,15036,24149
Airport,Accounting Assistant,53642,65202,14538,369,1293,1662
Airport,Accounting Assistant,53642,65202,39297,4614,4387,9001
Airport,Accounting Coordinator,61989,75349,81019,8885,0,8885
Airport,Administrative Assistant-Conf,62924,76484,78958,8561,12867,21428
Airport,Administrative Specialist,47118,57271,53886,6242,12457,18699
Airport,Administrative Specialist,47118,57271,5536,0,0,72
Airport,Airport Business Dev Manager,116227,141274,165960,16902,0,16902
Airport,Airport Business Dev Supervisor,86086,104639,110005,12815,16826,29641
Airport,Airport Business Manager,106247,129144,117844,8580,0,8580
Airport,Airport Director,159606,194002,220310,17582,12071,29653
Airport,Airport Facilities Manager,112672,136954,153309,10813,9862,20675
Airport,Airport Maintenance Coordinator,60462,73493,70578,5335,15036,20371
Airport,Airport Maintenance Coordinator,60462,73493,22784,2569,4297,6866
Airport,Airport Maintenance Supervisor,80451,97789,103763,7753,16826,24579
Airport,Airport Maintenance Worker II,49527,60200,60437,6581,1120,7701
Airport,Airport Maintenance Worker II,49527,60200,69210,4720,12633,17353
Airport,Airport Operations Manager,116227,141274,147367,17109,20707,37816
Airport,Airport Operations Specialist,54497,66242,87137,8359,13918,22277
Airport,Airport Operations Specialist,54497,66242,76164,7951,0,7951
Airport,Airport Operations Specialist,54497,66242,56052,5935,0,5935
Airport,Airport Operations Specialist,54497,66242,23707,0,0,306
Airport,Airport Operations Specialist,54497,66242,81232,4533,13077,17610
Airport,Airport Operations Specialist,54497,66242,16272,1610,3650,5260
Airport,Airport Operations Specialist,54497,66242,22406,2457,0,2457
Airport,Airport Operations Specialist,54497,66242,17851,2070,2912,4982
Airport,Airport Operations Supervisor,80451,97789,101171,11172,12240,23412
Airport,Airport Operations Supervisor,80451,97789,68692,7629,8625,16254
Airport,Airport Operations Technician,50764,61704,59342,6469,1033,7502
Airport,Airport Patrol Officer,83304,101256,133672,6801,14825,21626
Airport,Airport Patrol Officer,83304,101256,116866,9769,14941,24710
Airport,Airport Patrol Officer,83304,101256,108799,7195,14941,22136
Airport,Airport Patrol Officer II,91192,110844,125807,10420,10253,20673
Airport,Airport Patrol Officer II,91192,110844,151985,7871,14911,22782
Airport,Airport Patrol Officer II,91192,110844,137765,8031,14941,22972
Airport,Airport Patrol Officer II,91192,110844,11873,132,546,678
Airport,Airport Patrol Officer II,91192,110844,146814,12220,14882,27102
Airport,Airport Patrol Supervisor,104871,127471,127978,8237,0,8237
Airport,Airport Security Aide,38023,46216,43067,4893,13077,17970
Airport,Airport Security Aide,38023,46216,47124,5263,15036,20299
Airport,Airport Security Aide,38023,46216,13940,0,0,177
Airport,Airport Security Aide,38023,46216,5189,0,0,57
Airport,Airport Security Aide,38023,46216,14134,1304,0,1304
Airport,Airport Security Aide,38023,46216,4526,0,0,57
Airport,Airport Security Aide,38023,46216,12170,0,0,156
Airport,Airport Security Aide,38023,46216,41197,4018,0,4018
Airport,Airport Security Aide,38023,46216,5519,0,0,69
Airport,Airport Security Aide,38023,46216,15633,0,0,201
Airport,Airport Traffic Aide,29120,29120,1498,0,0,14
Airport,Airport Traffic Aide,29120,29120,5073,0,0,56
Airport,Airport Traffic Aide,29120,29120,5857,0,0,72
Airport,Community Education Liaison,52320,63596,37359,2028,0,2028
Airport,Custodial Supervisor,62230,75642,92579,6002,12455,18457
Airport,Custodian,42011,51064,48506,5427,12156,17583
Airport,Custodian,42011,51064,58454,6015,0,6015
Airport,Custodian,42011,51064,44918,5115,12156,17271
Airport,Custodian,42011,51064,583,0,0,0
Airport,Custodian,42011,51064,2684,0,0,35
Airport,Custodian,42011,51064,63264,4006,0,4006
Airport,Custodian,42011,51064,57101,4206,14370,18576
Airport,Custodian,42011,51064,41233,3065,11802,14867
Airport,Custodian,42011,51064,6051,297,0,297
Airport,Grounds Maintenance Worker II,49403,60050,54154,4591,15007,19598
Airport,Grounds Maintenance Worker II,49403,60050,3395,0,0,39
Airport,Marketing Coordinator,73445,89274,10198,253,540,793
Airport,Marketing Coordinator,73445,89274,52195,0,0,675
Airport,Painter,58575,71198,65258,7549,9862,17411
Airport,Painter,58575,71198,73932,5595,15007,20602
Airport,Property Management Specialist,67139,81608,81262,9464,13077,22541
Airport,Senior Airport Maintenance Worker,54723,66516,69308,5218,12490,17708
Airport,Senior Airport Maintenance Worker,54723,66516,63886,4767,15036,19803
Airport,Senior Airport Maintenance Worker,54723,66516,66313,3875,0,3875
Airport,Senior Airport Maintenance Worker,54723,66516,73719,5224,0,5224
Airport,Senior Airport Maintenance Worker,54723,66516,1972,236,0,236
Airport,Senior Airport Operations Spec,60745,73836,66891,7745,14941,22686
Airport,Senior Airport Operations Spec,60745,73836,54373,5363,8888,14251
Airport,Senior Airport Operations Spec,60745,73836,85163,5892,14533,20425
Airport,Senior Airport Operations Spec,60745,73836,84148,5805,14941,20746
Airport,Senior Airport Operations Spec,60745,73836,75069,7209,0,7209
Airport,Senior Airport Operations Spec,60745,73836,13988,1656,1977,3633
Airport,Senior Airport Security Aide,41824,50838,53133,5879,11938,17817
Airport,Senior Custodian,44380,53944,9706,721,2327,3048
Airport,Senior Engineering Technician,69041,83920,44259,3324,12482,15806
City Administrator,Administrative Specialist Conf,47118,57271,15171,1661,4272,5933
City Administrator,Administrators Office Supervisor,87890,106832,111015,7763,8528,16291
City Administrator,Assistant City Administrator,187510,227921,243588,14219,17947,32166
City Administrator,Assistant City Administrator,187510,227921,236889,17364,21380,38744
City Administrator,City Administrator Clerk Treasurer,232723,282877,302528,22241,20156,46320
City Administrator,City Clerk Services Manager,117979,143404,154423,11072,12758,23830
City Administrator,City Tv Production Aide Lead,34986,34986,15804,0,0,202
City Administrator,City Tv Production Aide Lead,34986,34986,546,0,0,1
City Administrator,City Tv Production Aide Lead,34986,34986,7603,0,0,99
City Administrator,City Tv Production Aide Lead,34986,34986,3127,0,0,41
City Administrator,City Tv Production Intern,29120,29120,881,0,0,11
City Administrator,City Tv Production Intern,29120,29120,234,0,0,3
City Administrator,City Tv Production Intern,29120,29120,839,0,0,11
City Administrator,City Tv Production Intern,29120,29120,1014,0,0,13
City Administrator,City Tv Production Specialist,73127,88885,77359,9022,12490,21512
City Administrator,City Tv Production Supervisor,89266,108503,138321,8580,0,8580
City Administrator,Communication Specialist,59863,72763,47418,5250,0,5250
City Administrator,Deputy City Clerk,57662,70088,60439,6987,13247,20234
City Administrator,Deputy City Clerk,57662,70088,63239,7344,12867,20211
City Administrator,Economic Development Manager,149891,182193,157008,10099,9427,19526
City Administrator,Records Technician,49527,60200,30355,3277,0,3277
City Administrator,Senior Asst To The City Admin,117162,142411,162480,11197,6359,17556
City Administrator,Senior Asst To The City Admin,117162,142411,147960,11197,20879,32076
City Attorney,Assistant Attorney IV,163243,198423,36317,0,0,472
City Attorney,Assistant City Attorney II,127779,155317,178231,11868,0,11868
City Attorney,Assistant City Attorney III,148403,180385,173535,13132,21383,34515
City Attorney,Assistant City Attorney IV,163243,198423,227530,17571,0,17571
City Attorney,Assistant City Attorney IV,163243,198423,206341,15601,21189,36790
City Attorney,Assistant City Attorney IV,163243,198423,227530,15601,0,15601
City Attorney,Assistant City Attorney IV,163243,198423,155526,16281,760,17041
City Attorney,Assistant City Attorney IV,163243,198423,205841,15585,21562,37147
City Attorney,Assistant City Attorney IV,163243,198423,145107,15344,14585,29929
City Attorney,City Attorney,262817,262817,280624,20664,21228,41892
City Attorney,City Attorney Investigator,76818,93372,102014,11430,14807,26237
City Attorney,Legal Assistant II,62451,75911,76397,5784,11946,17730
City Attorney,Legal Assistant II,62451,75911,80217,6074,12206,18280
City Attorney,Legal Office Supervisor,73267,89057,95349,7195,16512,23707
City Attorney,Litigation Paralegal,63710,77440,81833,6196,12867,19063
City Attorney,Litigation Paralegal,63710,77440,67047,7807,13077,20884
Community Development,Accounting Assistant,53642,65202,67465,5090,13077,18167
Community Development,Administrative Analyst II,87890,106832,91449,10542,11989,22531
Community Development,Administrative Assistant-Conf,62924,76484,73617,8561,14698,23259
Community Development,Administrative Clerical Supervisor,66050,80284,101069,6349,0,6349
Community Development,Administrative Specialist,47118,57271,52336,6104,12189,18293
Community Development,Administrative Specialist,47118,57271,47384,5531,11946,17477
Community Development,Administrative Specialist,47118,57271,29221,0,0,376
Community Development,Administrative Specialist,47118,57271,34494,4053,8736,12789
Community Development,Administrative Specialist,47118,57271,3800,0,0,49
Community Development,Administrative Supervisor,72979,88706,77991,8619,15007,23626
Community Development,Administrative Supervisor,72979,88706,43028,2468,5617,8085
Community Development,Assistant Planner,71995,87510,80403,9375,10073,19448
Community Development,Assistant Planner,71995,87510,80935,5873,1161,7034
Community Development,Assistant Planner,71995,87510,78801,5696,1161,6857
Community Development,Assistant Planner,71995,87510,69883,8157,11946,20103
Community Development,Assistant Planner,71995,87510,11380,1360,1047,2407
Community Development,Associate Planner,77975,94780,104322,7398,11688,19086
Community Development,Associate Planner,77975,94780,97714,7398,10073,17471
Community Development,Associate Planner,77975,94780,96350,7296,12189,19485
Community Development,Associate Planner,77975,94780,31090,1963,4872,6835
Community Development,Associate Planner,77975,94780,98830,10919,11946,22865
Community Development,Associate Planner,77975,94780,49050,0,0,632
Community Development,Associate Planner,77975,94780,86812,10128,13471,23599
Community Development,Associate Planner,77975,94780,95046,7197,12247,19444
Community Development,Building Inspection Pln Ck Sup,111833,135934,126180,8831,8804,17635
Community Development,Building Inspection Pln Ck Sup,111833,135934,27996,1936,1743,3679
Community Development,Building Inspection Pln Ck Sup,111833,135934,7440,559,1238,1797
Community Development,Building Inspector,72783,88468,80218,8871,12220,21091
Community Development,Building Inspector,72783,88468,85565,9969,15036,25005
Community Development,Building Inspector,72783,88468,94715,6906,15036,21942
Community Development,Building Inspector,72783,88468,91206,6906,13141,20047
Community Development,Building Inspector,72783,88468,5104,0,0,66
Community Development,Building Permit Technician,59619,72467,38570,4161,7840,12001
Community Development,Building Permit Technician,59619,72467,61632,7116,12137,19253
Community Development,Building Permit Technician,59619,72467,76305,8707,13077,21784
Community Development,Building Permit Technician,59619,72467,52070,1752,1412,3164
Community Development,Chief Building Official,125853,152976,159621,12028,20331,32359
Community Development,City Planner,131085,159335,176551,12528,9862,22390
Community Development,Commission Secretary,52188,63435,65399,4952,13077,18029
Community Development,Commission Secretary,52188,63435,59556,6427,1473,7900
Community Development,Community Development Bus Manager,106247,129144,22813,587,643,1230
Community Development,Community Development Bus Manager,106247,129144,122541,12749,6448,19197
Community Development,Community Development Director,168106,204335,182867,11417,13038,24455
Community Development,Community Development Prg Spec,70573,85782,37528,4377,6254,10631
Community Development,Geographic Info Systems Tech,68835,83669,86573,6531,15036,21567
Community Development,Graphic Designer,73445,89274,92448,6940,13077,20017
Community Development,Housing And Human Services Manager,113963,138523,134871,9554,12247,21801
Community Development,Housing Programs Specialist,77975,94780,53143,3823,421,4244
Community Development,Housing Programs Specialist,77975,94780,60312,2696,2987,5683
Community Development,Housing Project Planner,83614,101634,63242,4801,9726,14527
Community Development,Planning Technician I,59863,72763,58781,6858,13077,19935
Community Development,Planning Technician I,59863,72763,21111,1918,3209,5127
Community Development,Planning Technician I,59863,72763,2445,0,0,30
Community Development,Planning Technician I,59863,72763,28586,3287,0,3287
Community Development,Planning Technician I,59863,72763,1330,159,0,159
Community Development,Planning Technician II,64835,78808,31985,0,0,411
Community Development,Planning Technician II,64835,78808,45261,4779,2562,7341
Community Development,Planning Technician II,64835,78808,62809,7329,12247,19576
Community Development,Planning Technician II,64835,78808,14434,1725,1992,3717
Community Development,Plans Examiner,84151,102286,105914,12290,12908,25198
Community Development,Plans Examiner,84151,102286,107530,8106,15036,23142
Community Development,Principal Planner,113963,138523,148315,10500,11306,21806
Community Development,Project Planner,83614,101634,102540,11957,12886,24843
Community Development,Project Planner,83614,101634,99382,11584,11946,23530
Community Development,Project Planner,83614,101634,110099,7872,12247,20119
Community Development,Project Planner,83614,101634,104781,7933,11946,19879
Community Development,Project Planner,83614,101634,98788,7482,12523,20005
Community Development,Project Planner,83614,101634,106993,8064,15007,23071
Community Development,Project Planner,83614,101634,95105,6969,1006,7975
Community Development,Project Planner,83614,101634,89023,6377,0,6377
Community Development,Project Planner,83614,101634,34091,3974,7177,11151
Community Development,Records Technician,49527,60200,52635,6134,13077,19211
Community Development,Records Technician,49527,60200,10902,266,540,806
Community Development,Rental Housing Mediation Spec,64192,78025,66387,7664,13077,20741
Community Development,Senior Building Inspector Specialty,84529,102746,101480,11137,13875,25012
Community Development,Senior Building Inspector Specialty,84529,102746,108626,8041,12867,20908
Community Development,Senior Building Inspector Specialty,84529,102746,65193,4744,10798,15542
Community Development,Senior Building Inspector Specialty,84529,102746,94685,10767,14867,25634
Community Development,Senior Building Inspector Specialty,84529,102746,78117,9064,9427,18491
Community Development,Senior Community Dev Programs Spec,77630,94360,99010,7496,13181,20677
Community Development,Senior Plan Check Engineer,97246,118203,127917,9605,12553,22158
Community Development,Senior Planner I,96157,116880,127516,9286,12651,21937
Community Development,Senior Planner II,101074,122857,117578,8784,15254,24038
Community Development,Senior Planner II,101074,122857,127071,9449,16826,26275
Community Development,Senior Planner II,101074,122857,83085,5017,0,5017
Community Development,Senior Plans Examiner,88014,106982,108554,8712,13268,21980
Community Development,Senior Plans Examiner,88014,106982,136492,13804,12434,26238
Community Development,Senior Rental Housing Med Spec,77630,94360,95899,7166,15007,22173
Finance,Accountant II,68492,83253,86599,6466,15036,21502
Finance,Accounting Assistant,53642,65202,63939,7374,12247,19621
Finance,Accounting Assistant,53642,65202,63216,6939,801,7740
Finance,Accounting Assistant,53642,65202,64712,5026,15007,20033
Finance,Accounting Assistant,53642,65202,67233,7732,12507,20239
Finance,Accounting Assistant,53642,65202,32656,3805,6254,10059
Finance,Accounting Assistant,53642,65202,71270,7771,0,7771
Finance,Accounting Assistant,53642,65202,65721,7134,0,7134
Finance,Accounting Assistant,53642,65202,68513,5170,12189,17359
Finance,Accounting Assistant,53642,65202,11858,298,0,298
Finance,Accounting Assistant,53642,65202,30977,3531,9367,12898
Finance,Accounting Assistant,53642,65202,42453,3436,5824,9260
Finance,Accounting Coordinator,61989,75349,82936,5882,1161,7043
Finance,Accounting Manager,112431,136660,148875,16810,16942,33752
Finance,Accounting Supervisor,98612,119864,134136,8069,2447,10516
Finance,Accounting Technician,56385,68536,73745,5484,15474,20958
Finance,Administrative Assistant-Conf,62924,76484,64546,7524,15054,22578
Finance,Administrative Specialist,47118,57271,59045,4471,12457,16928
Finance,Administrative Specialist,47118,57271,10406,1071,2564,3635
Finance,Administrative Specialist,47118,57271,10613,0,0,138
Finance,Administrative Specialist,47118,57271,7137,0,0,92
Finance,Billing Supervisor,76711,93243,87723,6255,16512,22767
Finance,Budget Manager,109475,133067,136986,10365,20879,31244
Finance,Buyer II,65759,79931,76738,8949,14917,23866
Finance,Executive Assistant,54857,66679,7085,608,1555,2163
Finance,Finance Analyst I,76818,93372,85947,10021,14995,25016
Finance,Finance Analyst I,76818,93372,100883,7288,0,7288
Finance,Finance Director,166442,202311,96738,3783,182,3965
Finance,Finance Director,166442,202311,56974,3293,2696,5989
Finance,Finance Supervisor,76711,93243,108559,7373,9862,17235
Finance,Finance Treasury Manager,129421,157312,187002,12568,0,12568
Finance,General Services Manager,112431,136660,143306,10745,19560,30305
Finance,Mail Services Specialist,38023,46216,47697,3608,14606,18214
Finance,Network Analyst,79468,96593,328,0,0,4
Finance,Office Specialist II,42858,52093,6051,0,0,74
Finance,Payroll Supervisor,76711,93243,115021,7396,0,7396
Finance,Purchasing Supervisor,85472,103891,125337,8215,0,8215
Finance,Risk Analyst II,87890,106832,112893,13157,14738,27895
Finance,Risk Analyst II,87890,106832,107697,8141,13740,21881
Finance,Risk Manager,110898,134797,148065,10598,12867,23465
Finance,Risk Technician,64835,78808,79280,5922,15474,21396
Finance,Senior Accountant,79151,96208,109329,7874,15255,23129
Finance,Senior Accountant,79151,96208,69108,8079,9427,17506
Finance,Senior Buyer,72335,87924,88707,6717,15036,21753
Finance,Warehouse Specialist,48307,58718,69469,4604,0,4604
Fire,Administrative Assistant-Conf,62924,76484,74021,5585,15427,21012
Fire,Administrative Specialist,47118,57271,58968,4465,15036,19501
Fire,Ems Nurse Educator,168064,168064,5010,0,0,65
Fire,Fire Battalion Chief,137474,167102,297895,37639,16851,54490
Fire,Fire Battalion Chief 40Hr,137474,167101,298205,38564,21176,59740
Fire,Fire Battalion Chief 40Hr,137474,167101,281294,36640,21179,57819
Fire,Fire Battalion Chief 40Hr,137474,167101,336645,38396,0,38396
Fire,Fire Business Manager,106247,129144,144213,10382,15397,25779
Fire,Fire Captain  40Hr,103792,126160,242482,33617,15418,49035
Fire,Fire Captain  40Hr,103792,126160,68716,1075,706,1781
Fire,Fire Captain 56Hr,103792,126160,180619,27780,12430,40210
Fire,Fire Captain 56Hr,103792,126160,277646,32524,18283,50807
Fire,Fire Captain 56Hr,103792,126160,270145,34673,15418,50091
Fire,Fire Captain 56Hr,103792,126160,249925,31516,15418,46934
Fire,Fire Captain 56Hr,103792,126160,144273,31514,15418,46932
Fire,Fire Captain 56Hr,103792,126160,160183,31557,15215,46772
Fire,Fire Captain 56Hr,103792,126160,207652,29870,0,29870
Fire,Fire Captain 56Hr,103792,126160,228003,29067,12012,41079
Fire,Fire Captain 56Hr,103792,126160,201113,31142,15418,46560
Fire,Fire Captain 56Hr,103792,126160,178635,27618,18309,45927
Fire,Fire Captain 56Hr,103792,126160,206035,32208,18283,50491
Fire,Fire Captain 56Hr,103792,126160,161504,27685,12658,40343
Fire,Fire Captain 56Hr,103792,126160,183335,33654,18309,51963
Fire,Fire Captain 56Hr,103792,126160,115425,21913,0,21913
Fire,Fire Captain 56Hr,103792,126160,151689,33470,18309,51779
Fire,Fire Captain 56Hr,103792,126160,197029,33169,15418,48587
Fire,Fire Captain 56Hr,103792,126160,253346,31516,15418,46934
Fire,Fire Captain 56Hr,103792,126160,263952,33955,15418,49373
Fire,Fire Captain 56Hr,103792,126160,142231,30173,15418,45591
Fire,Fire Captain 56Hr,103792,126160,201451,29822,15418,45240
Fire,Fire Captain 56Hr,103792,126160,253212,30445,18128,48573
Fire,Fire Captain 56Hr,103792,126160,163711,31514,18128,49642
Fire,Fire Captain 56Hr,103792,126160,231757,31880,18309,50189
Fire,Fire Captain 56Hr,103792,126160,176302,30608,16083,46691
Fire,Fire Captain 56Hr,103792,126160,288437,35292,12090,47382
Fire,Fire Captain 56Hr,103792,126160,282071,36052,15418,51470
Fire,Fire Captain 56Hr,103792,126160,172247,31514,18309,49823
Fire,Fire Captain 56Hr,103792,126160,7561,1240,26,1266
Fire,Fire Captain 56Hr,103792,126160,280933,32864,18128,50992
Fire,Fire Captain 56Hr,103792,126160,203081,31516,18283,49799
Fire,Fire Captain 56Hr,103792,126160,182284,31549,15418,46967
Fire,Fire Captain 56Hr,103792,126160,244828,0,0,0
Fire,Fire Engineer 56Hr,89815,109171,209389,15463,18309,33772
Fire,Fire Engineer 56Hr,89815,109171,134790,28587,12136,40723
Fire,Fire Engineer 56Hr,89815,109171,145359,27289,12129,39418
Fire,Fire Engineer 56Hr,89815,109171,172105,27289,15444,42733
Fire,Fire Engineer 56Hr,89815,109171,173929,27289,15311,42600
Fire,Fire Engineer 56Hr,89815,109171,201073,29443,15444,44887
Fire,Fire Engineer 56Hr,89815,109171,208461,28625,15444,44069
Fire,Fire Engineer 56Hr,89815,109171,122204,26977,0,26977
Fire,Fire Engineer 56Hr,89815,109171,183051,28393,15418,43811
Fire,Fire Engineer 56Hr,89815,109171,129468,27327,18283,45610
Fire,Fire Engineer 56Hr,89815,109171,185117,27315,15311,42626
Fire,Fire Engineer 56Hr,89815,109171,131973,29157,650,29807
Fire,Fire Engineer 56Hr,89815,109171,157773,27289,15418,42707
Fire,Fire Engineer 56Hr,89815,109171,269228,27856,12757,40613
Fire,Fire Engineer 56Hr,89815,109171,120590,27289,12129,39418
Fire,Fire Engineer 56Hr,89815,109171,205081,28445,15418,43863
Fire,Fire Engineer 56Hr,89815,109171,167420,25868,15418,41286
Fire,Fire Engineer 56Hr,89815,109171,118062,24827,15418,40245
Fire,Fire Engineer 56Hr,89815,109171,252304,25966,15418,41384
Fire,Fire Engineer 56Hr,89815,109171,144350,27184,15418,42602
Fire,Fire Engineer 56Hr,89815,109171,212870,27289,18309,45598
Fire,Fire Engineer 56Hr,89815,109171,135750,27289,18179,45468
Fire,Fire Engineer 56Hr,89815,109171,131614,25975,12012,37987
Fire,Fire Engineer 56Hr,89815,109171,182903,25753,18201,43954
Fire,Fire Engineer 56Hr,89815,109171,127144,16293,15418,31711
Fire,Fire Engineer 56Hr,89815,109171,140986,26616,17659,44275
Fire,Fire Engineer 56Hr,89815,109171,146228,16293,15311,31604
Fire,Fire Engineer 56Hr,89815,109171,142356,28587,15418,44005
Fire,Fire Inspector I,79286,96373,109629,13815,0,13815
Fire,Fire Inspector I,79286,96373,115480,25085,18309,43394
Fire,Fire Inspector II,89815,109171,184088,27898,18309,46207
Fire,Fire Inspector III,103792,126160,141679,32197,15444,47641
Fire,Fire Operations Division Chief,157556,191511,226848,0,19056,19056
Fire,Fire Prevention Division Chief,137474,167101,182438,35809,21263,57072
Fire,Fire Services Mutual Aide Spec I,77522,77522,39412,0,0,511
Fire,Fire Services Mutual Aide Spec I,77522,77522,102,0,0,0
Fire,Fire Services Mutual Aide Spec I,77522,77522,24492,0,0,317
Fire,Fire Services Mutual Aide Spec I,77522,77522,1389,0,0,18
Fire,Firefighter 56Hr,79287,96373,161330,14747,15444,30191
Fire,Firefighter 56Hr,79287,96373,117460,14404,0,14404
Fire,Firefighter 56Hr,79287,96373,161281,14383,18201,32584
Fire,Firefighter 56Hr,79287,96373,151175,15027,650,15677
Fire,Firefighter 56Hr,79287,96373,188138,14410,13004,27414
Fire,Firefighter 56Hr,79287,96373,104616,12748,12757,25505
Fire,Firefighter 56Hr,79287,96373,174005,12795,12790,25585
Fire,Firefighter 56Hr,79287,96373,130579,12699,7988,20687
Fire,Firefighter 56Hr,79287,96373,181689,12952,12757,25709
Fire,Firefighter 56Hr,79287,96373,162759,12859,12012,24871
Fire,Firefighter 56Hr,79287,96373,142239,12826,15418,28244
Fire,Firefighter 56Hr,79287,96373,108938,24106,12430,36536
Fire,Firefighter 56Hr,79287,96373,167548,24165,15418,39583
Fire,Firefighter 56Hr,79287,96373,152129,24703,15444,40147
Fire,Firefighter 56Hr,79287,96373,109801,24559,18309,42868
Fire,Firefighter 56Hr,79287,96373,209745,26070,13015,39085
Fire,Firefighter 56Hr,79287,96373,14213,1101,732,1833
Fire,Firefighter 56Hr,79287,96373,196199,25071,18283,43354
Fire,Firefighter 56Hr,79287,96373,70207,7368,6306,13674
Fire,Firefighter 56Hr,79287,96373,80324,7413,0,7413
Fire,Firefighter 56Hr,79287,96373,189640,15218,12967,28185
Fire,Firefighter 56Hr,79287,96373,190487,24331,15418,39749
Fire,Firefighter 56Hr,79287,96373,139648,15560,15444,31004
Fire,Firefighter 56Hr,79287,96373,78761,7368,4028,11396
Fire,Firefighter 56Hr,79287,96373,74840,7368,8309,15677
Fire,Firefighter 56Hr,79287,96373,76668,7368,8309,15677
Fire,Firefighter 56Hr,79287,96373,82138,7368,7695,15063
Fire,Firefighter 56Hr,79287,96373,78802,7368,8309,15677
Fire,Firefighter 56Hr,79287,96373,62071,7334,9739,17073
Fire,Firefighter 56Hr,79287,96373,81117,10968,11649,22617
Fire,Firefighter 56Hr,79287,96373,73878,7368,6306,13674
Fire,Office Specialist II,42858,52093,49360,5757,12490,18247
Fire,Stock Clerk,43721,53143,9851,196,0,196
Human Resources,Administrative Analyst III,95191,115706,125210,14390,15474,29864
Human Resources,Human Resources Analyst II,87890,106832,84829,9927,15474,25401
Human Resources,Human Resources Analyst II,87890,106832,112893,8548,13077,21625
Human Resources,Human Resources Analyst II,87890,106832,116261,8548,1161,9709
Human Resources,Human Resources Assistant,58098,70618,75649,5728,12523,18251
Human Resources,Human Resources Assistant,58098,70618,69629,4927,3,4930
Human Resources,Human Resources Assistant,58098,70618,77020,8899,15474,24373
Human Resources,Human Resources Director,159606,194002,150602,17232,20950,38182
Human Resources,Office Specialist I,38983,47383,5360,0,0,69
Human Resources,Senior Human Resources Analyst,95191,115706,130357,9437,15474,24911
Library,Administrative Specialist,47118,57271,39471,3933,1999,5932
Library,Librarian I,59637,72490,67817,7911,11720,19631
Library,Librarian I,59637,72490,68671,8006,12021,20027
Library,Librarian I,59637,72490,66799,7788,11856,19644
Library,Librarian I,59637,72490,68453,7981,8804,16785
Library,Librarian II,65565,79695,58877,6580,8613,15193
Library,Librarian II,65565,79695,69108,8059,12891,20950
Library,Librarian II,65565,79695,65608,7658,12695,20353
Library,Librarian II,65565,79695,82949,5405,73,5478
Library,Librarian II,65565,79695,82162,6221,15036,21257
Library,Librarian II,65565,79695,70750,8253,11946,20199
Library,Library Assistant I,44698,54330,4382,0,0,49
Library,Library Assistant I,44698,54330,5637,261,601,862
Library,Library Circulation Supervisor,62440,75896,75717,8390,12849,21239
Library,Library Director,160879,195550,231998,15375,0,15375
Library,Library Services Manager,103114,125337,118840,12915,19485,32400
Library,Library Services Manager,103114,125337,105457,7871,16730,24601
Library,Library Technician,49633,60329,14674,0,0,175
Library,Library Technician,49633,60329,8846,0,0,101
Library,Library Technician,49633,60329,14160,0,0,168
Library,Library Technician,49633,60329,4874,0,0,60
Library,Library Technician,49633,60329,58627,6827,13077,19904
Library,Library Technician,49633,60329,8258,0,0,97
Library,Library Technician,49633,60329,4583,0,0,58
Library,Library Technician,49633,60329,5591,0,0,71
Library,Library Technician,49633,60329,4964,0,0,62
Library,Library Technician,49633,60329,5108,0,0,61
Library,Library Technician,49633,60329,52926,6175,12490,18665
Library,Library Technician,49633,60329,3994,0,0,50
Library,Library Technician,49633,60329,14043,0,0,169
Library,Library Technician,49633,60329,57740,4372,12490,16862
Library,Library Technician,49633,60329,54525,6357,12490,18847
Library,Library Technician,49633,60329,65606,4709,1120,5829
Library,Library Technician,49633,60329,6236,0,0,72
Library,Library Technician,49633,60329,7914,0,0,95
Library,Library Technician,49633,60329,62196,4709,15036,19745
Library,Library Technician,49633,60329,5864,0,0,70
Library,Library Technician,49633,60329,12711,0,0,155
Library,Library Technician,49633,60329,3201,0,0,42
